City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Ungheni,MD,47.2042,27.7958,29.05,79,0,6.91,clear sky
305,Flinders,AU,-34.5833,150.8552,62.19,84,97,11.3,light rain
306,Yerbogachen,RU,61.2767,108.0108,15.6,78,100,14.76,overcast clouds
307,Moissala,TD,8.3404,17.7663,80.47,29,65,5.1,broken clouds
308,Port Moresby,PG,-9.4431,147.1797,76.75,88,41,3.78,light rain
309,Coquimbo,CL,-29.9533,-71.3436,64.63,72,8,8.28,clear sky
310,Araouane,ML,18.9048,-3.5265,70.18,16,98,11.88,overcast clouds
311,Nova Granada,BR,-20.5339,-49.3142,82.65,55,27,7.31,scattered clouds
312,Narsaq,GL,60.9167,-46.05,43.02,73,100,8.37,overcast clouds
313,Cottonwood,US,34.7392,-112.0099,71.35,25,0,1.01,clear sky
314,Santa Isabel,BR,-23.3156,-46.2214,73.4,83,79,8.12,broken clouds
315,Cienfuegos,CU,22.1461,-80.4356,84.34,54,9,10.36,clear sky
316,Micheweni,TZ,-4.9667,39.8333,78.75,83,15,6.17,moderate rain
317,Tamandare,BR,-8.7597,-35.1047,78.64,83,31,8.12,moderate rain
318,Banda Aceh,ID,5.5577,95.3222,77.4,84,34,5.26,scattered clouds
319,Tiznit,MA,29.5833,-9.5,56.03,59,0,0.45,clear sky
320,San Patricio,US,28.017,-97.5169,84.29,57,48,12.88,scattered clouds
321,Qaqortoq,GL,60.7167,-46.0333,43.3,77,100,17.81,overcast clouds
322,Manggar,ID,-2.8833,108.2667,77.47,86,100,6.91,overcast clouds
323,Kabansk,RU,52.0486,106.6528,19.89,97,100,3.83,light snow
324,Vestmannaeyjar,IS,63.4427,-20.2734,32.77,65,8,8.48,clear sky
325,Barneveld,NL,52.1333,5.5833,42.96,95,89,10.16,overcast clouds
326,Buala,SB,-8.145,159.5921,82.04,77,84,2.42,light rain
327,Lukaya,UG,-0.1489,31.8748,71.65,88,100,5.97,light rain
328,Zhezkazgan,KZ,47.8043,67.7144,27.84,68,100,7.14,overcast clouds
329,Moerai,PF,-22.4333,-151.3333,77.54,78,13,11.74,light rain
330,Port Hedland,AU,-20.3167,118.5667,80.65,61,62,8.05,broken clouds
331,Magnolia,US,33.2671,-93.2393,78.48,59,81,3.27,broken clouds
332,Taquari,BR,-29.7997,-51.8644,85.32,61,100,12.03,overcast clouds
333,Benidorm,ES,38.5382,-0.131,61.48,58,0,10.27,clear sky
334,Kuraymah,SD,18.55,31.85,76.93,30,0,9.86,clear sky
335,Pacific Grove,US,36.6177,-121.9166,62.76,81,90,1.99,overcast clouds
336,Iqaluit,CA,63.7506,-68.5145,5.63,88,100,25.57,overcast clouds
337,Korla,CN,41.7597,86.1469,26.85,60,93,3.09,overcast clouds
338,Dryden,CA,49.7833,-92.7503,13.06,80,100,7.34,overcast clouds
339,Portland,US,45.5234,-122.6762,52.63,89,90,1.99,light rain
340,Severo-Kurilsk,RU,50.6789,156.125,30.81,84,77,24.02,light snow
341,Whitecourt,CA,54.1502,-115.6855,25.92,60,100,0.63,overcast clouds
